"cat_id","categoria","subcat_id_1","subcategoria_1","subcat_id_2","subcategoria_2","subcat_id_3","subcategoria_3","subcat_id_4","subcategoria_4","subcat_id_5","subcategoria_5","subcat_id_6","subcategoria_6"
"MLM1747","Accesorios para Vehículos","MLM92153","Acc. para Motos y Cuatrimotos","MLM45864","Indumentaria y Calzado","MLM168347","Playeras",NA,NA,NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM92153","Acc. para Motos y Cuatrimotos","MLM45864","Indumentaria y Calzado","MLM455751","Protección para Motociclistas","MLM168352","Arneses de Seguridad",NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM92153","Acc. para Motos y Cuatrimotos","MLM45864","Indumentaria y Calzado","MLM455751","Protección para Motociclistas","MLM437513","Chalecos Airbag",NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM92153","Acc. para Motos y Cuatrimotos","MLM45864","Indumentaria y Calzado","MLM455751","Protección para Motociclistas","MLM431123","Coderas",NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM92153","Acc. para Motos y Cuatrimotos","MLM45864","Indumentaria y Calzado","MLM455751","Protección para Motociclistas","MLM429499","Fajas Lumbares",NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM92153","Acc. para Motos y Cuatrimotos","MLM45864","Indumentaria y Calzado","MLM455751","Protección para Motociclistas","MLM62327","Pecheras",NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM92153","Acc. para Motos y Cuatrimotos","MLM45864","Indumentaria y Calzado","MLM455751","Protección para Motociclistas","MLM431121","Protectores Cervicales",NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM92153","Acc. para Motos y Cuatrimotos","MLM45864","Indumentaria y Calzado","MLM455751","Protección para Motociclistas","MLM437514","Protectores de Espalda",NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM92153","Acc. para Motos y Cuatrimotos","MLM45864","Indumentaria y Calzado","MLM455751","Protección para Motociclistas","MLM92155","Rodilleras",NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM92153","Acc. para Motos y Cuatrimotos","MLM45864","Indumentaria y Calzado","MLM455751","Protección para Motociclistas","MLM455752","Otros",NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM92153","Acc. para Motos y Cuatrimotos","MLM45864","Indumentaria y Calzado","MLM168351","Shorts",NA,NA,NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM92153","Acc. para Motos y Cuatrimotos","MLM45864","Indumentaria y Calzado","MLM73300","Trajes",NA,NA,NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM92153","Acc. para Motos y Cuatrimotos","MLM45864","Indumentaria y Calzado","MLM45819","Otros",NA,NA,NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM92153","Acc. para Motos y Cuatrimotos","MLM169716","Intercomunicadores",NA,NA,NA,NA,NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM92153","Acc. para Motos y Cuatrimotos","MLM437560","Lingas de Equipaje",NA,NA,NA,NA,NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM92153","Acc. para Motos y Cuatrimotos","MLM437561","Lingas y Candados","MLM431868","Cadenas de Seguridad",NA,NA,NA,NA,NA,NA
