"id","title","id_vendedor","price","condition","thumbnail","original_price","Descuento"
"MLM1340953579","Motorola Moto G60s 6gb 128gb verde",273345433,4313.88,"new","http://http2.mlstatic.com/D_745471-MLM48233730536_112021-O.jpg",4689,7.9999999999999964
"MLM1396506699","Imponente Moto G9 Play",129965516,3000,"used","http://http2.mlstatic.com/D_748238-MLM49454560456_032022-O.jpg",3250,7.692307692307687
"MLM1398455828"," Moto X4 32 Gb Negro 3 Gb Ram",31967659,2699,"new","http://http2.mlstatic.com/D_634987-MLA33073979891_122019-I.jpg",2899,6.898930665746805
"MLM1398487891","Celular Motorola Moto X4 32gb 3gb Ram Desbloqueado Negro",31967659,2699,"new","http://http2.mlstatic.com/D_754615-MLM49510341970_032022-O.jpg",2899,6.898930665746805
"MLM1331849612","Motorola Moto G60s 6gb 128gb  Azul",273345433,4407.66,"new","http://http2.mlstatic.com/D_915485-MLM48022979835_102021-O.jpg",4689,6.000000000000005
"MLM1345583154","Motorola Moto E40 4gb 64gb Gris",273345433,2941.26,"new","http://http2.mlstatic.com/D_914367-MLM48322269141_112021-O.jpg",3129,5.999999999999995
"MLM1449002926"," Moto G60 Dual Sim 128 Gb Plata 6 Gb Ram + Audifonos",89642541,4999,"new","http://http2.mlstatic.com/D_924770-MLM50513536926_062022-O.jpg",5299,5.661445555765243
"MLM1346621801","Motorola Moto E20 2gb 32gb Gris",273345433,2440.55,"new","http://http2.mlstatic.com/D_979098-MLM48346324579_112021-O.jpg",2569,4.999999999999993
"MLM1346615464","Motorola Moto E20 2gb 32gb Azul",273345433,2440.55,"new","http://http2.mlstatic.com/D_774162-MLM48346325682_112021-O.jpg",2569,4.999999999999993
"MLM1483940499"," Moto G8 64 Gb Blanco 4 Gb Ram",28993909,3989.05,"new","http://http2.mlstatic.com/D_932980-MLA43459808539_092020-I.jpg",4199,4.999999999999993
"MLM1412188152","Motorola Moto G51 Dual Sim Huella 5g 128gb 8gb Ram Azul ",564689945,4402.3,"new","http://http2.mlstatic.com/D_886620-MLM49774745467_042022-O.jpg",4634,4.999999999999993
"MLM1410790824"," Moto E7i 4g 32gb 2gb Ram Telefono Barato Nuevo Y Sellado",116643428,3324.05,"new","http://http2.mlstatic.com/D_670053-MLM51499673702_092022-O.jpg",3499,4.999999999999993
"MLM1398481948"," Moto E7 Plus Dual Sim 64 Gb Naranja Twilight 4 Gb Ram",31967659,4199,"new","http://http2.mlstatic.com/D_684846-MLA44053829302_112020-I.jpg",4399,4.54648783814503
"MLM1398519979","Celular Motorola Moto E7 Plus 64/4 Gb Ram Dual Sim Azul ",31967659,4199,"new","http://http2.mlstatic.com/D_858430-MLM49511017362_032022-O.jpg",4399,4.54648783814503
"MLM1398425265","Celular Motorola Moto E7 Plus 64/4 Gb Ram Dual Sim Naranja",31967659,4199,"new","http://http2.mlstatic.com/D_855734-MLM49510901092_032022-O.jpg",4399,4.54648783814503
"MLM1427357817"," Moto G60 Dual Sim 128 Gb Plata 6 Gb Ram Nuevo Sellado",564689945,4408.95,"new","http://http2.mlstatic.com/D_806023-MLA49444218631_032022-O.jpg",4408.95,0
"MLM1427135697","Motorola Moto G60s 4gb 128gb Verde Menta",273345433,4266.99,"new","http://http2.mlstatic.com/D_909997-MLM50056961309_052022-O.jpg",4266.99,0
"MLM1411108618"," Moto G60 Dual Sim 128 Gb Plata 4 Gb Ram",183830593,4099,"new","http://http2.mlstatic.com/D_709721-MLA49444205192_032022-I.jpg",NA,NA
"MLM1495968835"," Moto E40 Dual Sim 64 Gb Rosa Champagne 4 Gb Ram",698581908,2823,"new","http://http2.mlstatic.com/D_689858-MLA48233929561_112021-I.jpg",NA,NA
"MLM1495967927"," Moto G31 Dual Sim 128 Gb Azul Cielo 4 Gb Ram",698581908,3299,"new","http://http2.mlstatic.com/D_651588-MLA50999944634_082022-I.jpg",NA,NA
"MLM1486836834"," Moto G60 128 Gb Negro 4 Gb Ram",433640981,4030,"new","http://http2.mlstatic.com/D_979563-MLA50010242899_052022-I.jpg",NA,NA
"MLM1496944882"," Moto G60s Dual Sim 128 Gb Azul 4 Gb Ram",183830593,3968,"new","http://http2.mlstatic.com/D_764514-MLA48052577785_102021-I.jpg",NA,NA
"MLM1359951909"," Moto E20 32 Gb Gris Grafito 2 Gb Ram",183830593,2386,"new","http://http2.mlstatic.com/D_836520-MLA48573242061_122021-I.jpg",NA,NA
"MLM1382644166"," Moto G60s 128 Gb Aqua 6 Gb Ram",183830593,4256,"new","http://http2.mlstatic.com/D_966438-MLA48112811958_112021-I.jpg",NA,NA
"MLM1363016414"," Moto E40 64 Gb Gris Acero 4 Gb Ram",183830593,2899,"new","http://http2.mlstatic.com/D_737124-MLA48573324866_122021-I.jpg",NA,NA
"MLM1495955862"," Moto G31 128 Gb Gris Meteoro 4 Gb Ram",698581908,3299,"new","http://http2.mlstatic.com/D_779294-MLA50999944083_082022-I.jpg",NA,NA
"MLM1340305573"," Moto E7 Power Dual Sim 64 Gb Rojo Coral 4 Gb Ram",564689945,3345,"new","http://http2.mlstatic.com/D_970371-MLA46927008907_072021-I.jpg",NA,NA
"MLM1319169269"," Moto E7i Power Dual Sim 32 Gb Azul 2 Gb Ram",41461101,2849,"new","http://http2.mlstatic.com/D_932050-MLA47676430845_092021-I.jpg",NA,NA
"MLM1508106135"," Moto E7i Power 32 Gb Azul 2 Gb Ram",73897393,2790,"new","http://http2.mlstatic.com/D_995088-MLA47136315006_082021-I.jpg",NA,NA
"MLM1414374099"," Moto G50 128 Gb Steel Grey 4 Gb Ram",451405081,4651,"new","http://http2.mlstatic.com/D_746215-MLA47709012871_092021-I.jpg",NA,NA
"MLM1310172345"," Moto G20 64 Gb Azul Cielo 4 Gb Ram",671218588,3975,"new","http://http2.mlstatic.com/D_832416-MLA48271575038_112021-I.jpg",NA,NA
"MLM1434647855"," Moto G200 5g Dual Sim 128 Gb Morado Mirage 8 Gb Ram",259475044,9764.07,"new","http://http2.mlstatic.com/D_978282-MLA49460648177_032022-I.jpg",NA,NA
"MLM1508092768"," Moto G200 5g 128 Gb Morado Mirage 8 Gb Ram",41461101,9450,"new","http://http2.mlstatic.com/D_614394-MLA49460542461_032022-I.jpg",NA,NA
"MLM1446325973","Motorola G51 5g 128 Gb Azul 4 Gb Ram",183830593,4099,"new","http://http2.mlstatic.com/D_938142-MLA50302357164_062022-I.jpg",NA,NA
"MLM1427020677"," Moto G20 128 Gb Azul Glaciar 4 Gb Ram",451405081,3432,"new","http://http2.mlstatic.com/D_656073-MLA48271575080_112021-I.jpg",NA,NA
"MLM1498123252"," Moto G22 Dual Sim 64 Gb Iceberg Blue 4 Gb Ram",183830593,3087,"new","http://http2.mlstatic.com/D_710004-MLA49703399984_042022-I.jpg",NA,NA
"MLM1494595345"," Moto G41 Dual Sim 128 Gb Negro Ónix 6 Gb Ram",556313967,3782,"new","http://http2.mlstatic.com/D_609129-MLA49424333362_032022-I.jpg",NA,NA
"MLM1340678223"," Moto G50 64 Gb Steel Grey 4 Gb Ram",260333993,4999,"new","http://http2.mlstatic.com/D_692903-MLA47709101117_092021-I.jpg",NA,NA
"MLM1398432092","Motorola Edge 20 Lite 128 Gb Verde 6 Gb Ram",451405081,5891,"new","http://http2.mlstatic.com/D_733075-MLA48233834536_112021-I.jpg",NA,NA
"MLM913904001"," Moto E6i 32 Gb Rosa Coral 2 Gb Ram",451405081,2299,"new","http://http2.mlstatic.com/D_958370-MLA45656014985_042021-I.jpg",NA,NA
"MLM1503241842"," Moto G22 Dual Sim 128 Gb Cosmic Black 4 Gb Ram",183830593,3329,"new","http://http2.mlstatic.com/D_627595-MLA49703413654_042022-I.jpg",NA,NA
"MLM1467520535"," Moto G31 Dual Sim 64 Gb Azul Cielo 4 Gb Ram",295987659,3285,"new","http://http2.mlstatic.com/D_651588-MLA50999944634_082022-I.jpg",NA,NA
"MLM1446870747"," Moto G41 128 Gb Negro Ónix 4 Gb Ram",326509906,3834,"new","http://http2.mlstatic.com/D_711274-MLA49535290493_032022-I.jpg",NA,NA
"MLM1404868480"," Moto G31 64 Gb Gris Meteoro 4 Gb Ram",787003501,3305,"new","http://http2.mlstatic.com/D_779294-MLA50999944083_082022-I.jpg",NA,NA
"MLM1344821558"," Moto E7 32 Gb Azul Aqua 2 Gb Ram",770501622,2773,"new","http://http2.mlstatic.com/D_981251-MLA46651910517_072021-I.jpg",NA,NA
"MLM1411295386"," Moto G50 5g 128 Gb Azul 4 Gb Ram",451405081,4259,"new","http://http2.mlstatic.com/D_824449-MLA49432427236_032022-I.jpg",NA,NA
"MLM1470301068","Motorola One 64 Gb Negro 4 Gb Ram",110964097,3267,"new","http://http2.mlstatic.com/D_811048-MLA31273855377_062019-I.jpg",NA,NA
"MLM1491459733","Motorola Edge 30 128 Gb Azul Caribe 8 Gb Ram",527927603,9999,"new","http://http2.mlstatic.com/D_979260-MLA50693394360_072022-I.jpg",NA,NA
"MLM1458729526"," Moto G51 5g Dual Sim 64 Gb Azul 4 Gb Ram",95428411,3830,"new","http://http2.mlstatic.com/D_838350-MLA49842040545_052022-I.jpg",NA,NA
"MLM1452355210","Motorola Edge 20 Lite Dual Sim 128 Gb Gris 6 Gb Ram",45193846,6929.1,"new","http://http2.mlstatic.com/D_902730-MLA48233896010_112021-I.jpg",NA,NA
"MLM1439483784"," Moto G20 Dual Sim 128 Gb Verde Petróleo 4 Gb Ram",183830593,3579,"new","http://http2.mlstatic.com/D_671189-MLA48317863518_112021-I.jpg",NA,NA
"MLM1502172295","Motorola Edge 20 Pro 256 Gb Blanco Optic 12 Gb Ram",737431277,14122,"new","http://http2.mlstatic.com/D_625169-MLA48113209394_112021-I.jpg",NA,NA
"MLM959258365"," Moto G20 Dual Sim 64 Gb Azul Cielo 4 Gb Ram",801481613,3395,"new","http://http2.mlstatic.com/D_947740-MLA48317871395_112021-I.jpg",NA,NA
"MLM1483943855","Motorola One Zoom 128 Gb Bronze 4 Gb Ram",298218476,4300,"new","http://http2.mlstatic.com/D_706945-MLA40126154299_122019-I.jpg",NA,NA
"MLM1483969391","Motorola One Vision 128 Gb Bronce 4 Gb Ram",298218476,3999,"new","http://http2.mlstatic.com/D_926974-MLA41107066169_032020-I.jpg",NA,NA
"MLM1501872684"," Moto G30 128 Gb Gris Tornasol 4 Gb Ram",543318617,4070,"new","http://http2.mlstatic.com/D_768168-MLA45686583885_042021-I.jpg",NA,NA
"MLM1486986029","Motorola Edge 20 Dual Sim 128 Gb Verde 8 Gb Ram",21618875,6965.19,"new","http://http2.mlstatic.com/D_820933-MLA48688442582_122021-I.jpg",NA,NA
"MLM1446852934"," Moto G71 128 Gb Arctic Blue 6 Gb Ram",326509906,5550,"new","http://http2.mlstatic.com/D_916341-MLA49272367960_032022-I.jpg",NA,NA
"MLM1389802576"," Moto G50 Dual Sim 128 Gb Steel Grey 4 Gb Ram",95428411,4489,"new","http://http2.mlstatic.com/D_833089-MLA49250275316_032022-I.jpg",NA,NA
"MLM874655894","Moto E6 Play 32 Gb Azul 2 Gb Ram",260333993,3099,"new","http://http2.mlstatic.com/D_680195-MLA44508402226_012021-I.jpg",NA,NA
"MLM963503756"," Moto G30 Dual Sim 128 Gb Gris Tornasol 4 Gb Ram",539748321,4099,"new","http://http2.mlstatic.com/D_619655-MLA45687263172_042021-I.jpg",NA,NA
"MLM1474808899"," Moto G52 256 Gb Charcoal Grey 6 Gb Ram",451405081,6871,"new","http://http2.mlstatic.com/D_698891-MLA50817265580_072022-I.jpg",NA,NA
"MLM1411472498"," Moto E7 Power 64 Gb Azul Tahití 4 Gb Ram",539748321,3499,"new","http://http2.mlstatic.com/D_639218-MLA48341977633_112021-I.jpg",NA,NA
"MLM1481884224"," Moto E32 64 Gb Gris 4 Gb Ram",183830593,2955,"new","http://http2.mlstatic.com/D_659047-MLA51017313102_082022-I.jpg",NA,NA
"MLM1368460894"," Moto G Pro Dual Sim 128 Gb Mystic Indigo 4 Gb Ram",539748321,4256,"new","http://http2.mlstatic.com/D_915822-MLA45375225707_032021-I.jpg",NA,NA
"MLM1495243728"," Moto G9 Play 64 Gb Azul Eléctrico 4 Gb Ram",325062432,3957,"new","http://http2.mlstatic.com/D_994909-MLA43923920085_102020-I.jpg",NA,NA
"MLM1333375045"," Moto G100 128 Gb Azul Nimbus 8 Gb Ram",315166892,8553.09,"new","http://http2.mlstatic.com/D_614401-MLA46248932151_062021-I.jpg",NA,NA
"MLM911593319"," Moto E7 Plus 64 Gb Naranja Twilight 4 Gb Ram",731932102,3291,"new","http://http2.mlstatic.com/D_685336-MLA44706781856_012021-I.jpg",NA,NA
"MLM710248417"," Moto G7 Plus 64 Gb Rubí 4 Gb Ram",399712329,7599,"new","http://http2.mlstatic.com/D_849309-MLA31273782844_062019-I.jpg",NA,NA
"MLM1360398954","Moto G100 Dual Sim 8gb Ram 128gb Rom Slate Grey",539748321,8458,"new","http://http2.mlstatic.com/D_630197-MLM48701735886_122021-O.jpg",NA,NA
"MLM1484342516"," Moto G9 Power 128 Gb Morado Sónico 4 Gb Ram",149388290,5699,"new","http://http2.mlstatic.com/D_993329-MLA49274211351_032022-I.jpg",NA,NA
